"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\files.html", "HTML", 1, 0, 0, 1
"Total", "-", 1, 0, 0, 1
